1  3.3e-07
2  5.15e-07
3  6.45e-07
4  9.29e-07
5  1.183e-06
6  1.373e-06
7  1.841e-06
8  2.15e-06
9  2.608e-06
10  3.033e-06
11  3.397e-06
12  3.958e-06
13  4.888e-06
14  3.566e-06
15  3.128e-06
16  3.484e-06
17  3.614e-06
18  3.22e-06
19  3.965e-06
20  3.759e-06
21  3.59e-06
22  4.148e-06
23  3.971e-06
24  4.386e-06
25  4.253e-06
26  4.812e-06
27  5.187e-06
28  5.516e-06
29  4.897e-06
30  5.828e-06
31  5.304e-06
32  6.04e-06
33  6.382e-06
34  6.572e-06
35  6.994e-06
36  7.524e-06
37  7.908e-06
38  7.963e-06
39  7.904e-06
40  8.852e-06
41  9.108e-06
42  1.0314e-05
43  1.0416e-05
44  1.0771e-05
45  1.1709e-05
46  1.2077e-05
47  1.1945e-05
48  1.2711e-05
49  1.2959e-05
50  1.3761e-05
51  2.069e-05
52  1.3213e-05
53  1.4532e-05
54  1.5088e-05
55  1.5255e-05
56  1.6547e-05
57  1.6256e-05
58  1.7758e-05
59  1.7829e-05
