Algorithm	File	Fitness	Time(ms)
BMB	GKD-b_1_n25_m2	0,0000	0
BMB	GKD-b_2_n25_m2	0,0000	0
BMB	GKD-b_3_n25_m2	0,0000	0
BMB	GKD-b_4_n25_m2	0,0000	0
BMB	GKD-b_5_n25_m2	0,0000	0
BMB	GKD-b_6_n25_m7	18,8810	0
BMB	GKD-b_7_n25_m7	19,0608	0
BMB	GKD-b_8_n25_m7	20,1548	0
BMB	GKD-b_9_n25_m7	25,9243	0
BMB	GKD-b_10_n25_m7	26,7922	0
BMB	GKD-b_11_n50_m5	7,0344	1
BMB	GKD-b_12_n50_m5	7,4622	0
BMB	GKD-b_13_n50_m5	10,2233	0
BMB	GKD-b_14_n50_m5	7,6766	0
BMB	GKD-b_15_n50_m5	8,8526	0
BMB	GKD-b_16_n50_m15	79,6448	5
BMB	GKD-b_17_n50_m15	69,5471	7
BMB	GKD-b_18_n50_m15	64,2877	5
BMB	GKD-b_19_n50_m15	82,8639	5
BMB	GKD-b_20_n50_m15	69,7669	5
BMB	GKD-b_21_n100_m10	25,6070	6
BMB	GKD-b_22_n100_m10	25,6485	5
BMB	GKD-b_23_n100_m10	26,3624	5
BMB	GKD-b_24_n100_m10	26,9096	4
BMB	GKD-b_25_n100_m10	30,0582	5
BMB	GKD-b_26_n100_m30	259,5251	62
BMB	GKD-b_27_n100_m30	216,9280	62
BMB	GKD-b_28_n100_m30	182,4368	66
BMB	GKD-b_29_n100_m30	203,2613	49
BMB	GKD-b_30_n100_m30	231,5208	52
BMB	GKD-b_31_n125_m12	27,0638	17
BMB	GKD-b_32_n125_m12	36,7281	9
BMB	GKD-b_33_n125_m12	34,2014	12
BMB	GKD-b_34_n125_m12	36,1787	10
BMB	GKD-b_35_n125_m12	30,1899	11
BMB	GKD-b_36_n125_m37	249,7645	106
BMB	GKD-b_37_n125_m37	300,8290	100
BMB	GKD-b_38_n125_m37	326,8474	73
BMB	GKD-b_39_n125_m37	256,6401	98
BMB	GKD-b_40_n125_m37	310,5964	96
BMB	GKD-b_41_n150_m15	44,5227	21
BMB	GKD-b_42_n150_m15	55,1828	23
BMB	GKD-b_43_n150_m15	43,7870	24
BMB	GKD-b_44_n150_m15	44,5427	21
BMB	GKD-b_45_n150_m15	40,7225	17
BMB	GKD-b_46_n150_m45	391,0030	148
BMB	GKD-b_47_n150_m45	332,7484	176
BMB	GKD-b_48_n150_m45	360,4081	181
BMB	GKD-b_49_n150_m45	398,6054	122
BMB	GKD-b_50_n150_m45	403,4564	184
ILS	GKD-b_1_n25_m2	0,0000	0
ILS	GKD-b_2_n25_m2	0,0000	0
ILS	GKD-b_3_n25_m2	0,0000	0
ILS	GKD-b_4_n25_m2	0,0000	0
ILS	GKD-b_5_n25_m2	0,0000	0
ILS	GKD-b_6_n25_m7	18,4803	0
ILS	GKD-b_7_n25_m7	20,5717	0
ILS	GKD-b_8_n25_m7	22,7884	0
ILS	GKD-b_9_n25_m7	26,1075	0
ILS	GKD-b_10_n25_m7	26,5797	0
ILS	GKD-b_11_n50_m5	7,7405	0
ILS	GKD-b_12_n50_m5	6,7417	0
ILS	GKD-b_13_n50_m5	6,8387	0
ILS	GKD-b_14_n50_m5	8,0661	0
ILS	GKD-b_15_n50_m5	7,5148	0
ILS	GKD-b_16_n50_m15	59,7271	3
ILS	GKD-b_17_n50_m15	53,1703	4
ILS	GKD-b_18_n50_m15	54,6392	3
ILS	GKD-b_19_n50_m15	65,8954	3
ILS	GKD-b_20_n50_m15	65,0917	3
ILS	GKD-b_21_n100_m10	22,9069	4
ILS	GKD-b_22_n100_m10	28,9622	4
ILS	GKD-b_23_n100_m10	26,7690	3
ILS	GKD-b_24_n100_m10	24,2086	4
ILS	GKD-b_25_n100_m10	27,4945	4
ILS	GKD-b_26_n100_m30	241,6646	26
ILS	GKD-b_27_n100_m30	223,3739	20
ILS	GKD-b_28_n100_m30	197,1259	27
ILS	GKD-b_29_n100_m30	226,1314	22
ILS	GKD-b_30_n100_m30	202,0772	23
ILS	GKD-b_31_n125_m12	21,6516	8
ILS	GKD-b_32_n125_m12	31,3814	5
ILS	GKD-b_33_n125_m12	34,4791	6
ILS	GKD-b_34_n125_m12	31,1233	5
ILS	GKD-b_35_n125_m12	28,1648	6
ILS	GKD-b_36_n125_m37	199,2673	38
ILS	GKD-b_37_n125_m37	286,3404	46
ILS	GKD-b_38_n125_m37	294,9735	54
ILS	GKD-b_39_n125_m37	244,8501	52
ILS	GKD-b_40_n125_m37	291,6497	47
ILS	GKD-b_41_n150_m15	43,5829	12
