Algorithm	File	Fitness	Time(ms)
AGG-posicion	GKD-b_47_n150_m45	573.142	267
AGG-posicion	GKD-b_48_n150_m45	604.485	258
AGG-posicion	GKD-b_49_n150_m45	644.317	260
AGG-posicion	GKD-b_50_n150_m45	717.942	229
AGE-uniforme	GKD-b_1_n25_m2	0	245
AGE-uniforme	GKD-b_2_n25_m2	0	242
AGE-uniforme	GKD-b_3_n25_m2	0	242
AGE-uniforme	GKD-b_4_n25_m2	0	253
AGE-uniforme	GKD-b_5_n25_m2	0	241
AGE-uniforme	GKD-b_6_n25_m7	30.4402	212
AGE-uniforme	GKD-b_7_n25_m7	28.766	203
AGE-uniforme	GKD-b_8_n25_m7	35.4466	215
AGE-uniforme	GKD-b_9_n25_m7	28.5392	202
AGE-uniforme	GKD-b_10_n25_m7	36.1761	209
AGE-uniforme	GKD-b_11_n50_m5	12.1905	231
AGE-uniforme	GKD-b_12_n50_m5	14.2162	231
AGE-uniforme	GKD-b_13_n50_m5	15.9052	216
AGE-uniforme	GKD-b_14_n50_m5	17.5747	208
AGE-uniforme	GKD-b_15_n50_m5	11.7427	231
AGE-uniforme	GKD-b_16_n50_m15	97.7173	409
AGE-uniforme	GKD-b_17_n50_m15	84.1268	379
AGE-uniforme	GKD-b_18_n50_m15	93.5126	319
AGE-uniforme	GKD-b_19_n50_m15	88.6384	303
AGE-uniforme	GKD-b_20_n50_m15	92.4673	299
AGE-uniforme	GKD-b_21_n100_m10	43.0561	335
AGE-uniforme	GKD-b_22_n100_m10	45.2921	320
AGE-uniforme	GKD-b_23_n100_m10	42.363	345
AGE-uniforme	GKD-b_24_n100_m10	48.9915	338
AGE-uniforme	GKD-b_25_n100_m10	46.3201	317
AGE-uniforme	GKD-b_26_n100_m30	266.422	667
AGE-uniforme	GKD-b_27_n100_m30	183.003	662
AGE-uniforme	GKD-b_28_n100_m30	203.981	697
AGE-uniforme	GKD-b_29_n100_m30	231.684	623
AGE-uniforme	GKD-b_30_n100_m30	217.159	620
AGE-uniforme	GKD-b_31_n125_m12	44.563	379
AGE-uniforme	GKD-b_32_n125_m12	61.1654	413
AGE-uniforme	GKD-b_33_n125_m12	52.0401	422
AGE-uniforme	GKD-b_34_n125_m12	56.5046	400
AGE-uniforme	GKD-b_35_n125_m12	50.0963	416
AGE-uniforme	GKD-b_36_n125_m37	249.732	868
AGE-uniforme	GKD-b_37_n125_m37	303.232	931
AGE-uniforme	GKD-b_38_n125_m37	309.971	959
AGE-uniforme	GKD-b_39_n125_m37	265.629	992
AGE-uniforme	GKD-b_40_n125_m37	314.171	938
AGE-uniforme	GKD-b_41_n150_m15	74.2384	523
AGE-uniforme	GKD-b_42_n150_m15	77.5384	587
AGE-uniforme	GKD-b_43_n150_m15	67.2599	624
AGE-uniforme	GKD-b_44_n150_m15	65.3304	503
AGE-uniforme	GKD-b_45_n150_m15	73.8938	579
AGE-uniforme	GKD-b_46_n150_m45	379.857	1424
AGE-uniforme	GKD-b_47_n150_m45	327	1412
AGE-uniforme	GKD-b_48_n150_m45	374.891	1301
AGE-uniforme	GKD-b_49_n150_m45	393.86	1311
AGE-uniforme	GKD-b_50_n150_m45	329.832	1382
AGE-posicion	GKD-b_1_n25_m2	0	187
AGE-posicion	GKD-b_2_n25_m2	0	241
AGE-posicion	GKD-b_3_n25_m2	0	282
AGE-posicion	GKD-b_4_n25_m2	0	192
AGE-posicion	GKD-b_5_n25_m2	0	203
AGE-posicion	GKD-b_6_n25_m7	31.3642	158
AGE-posicion	GKD-b_7_n25_m7	29.7876	163
AGE-posicion	GKD-b_8_n25_m7	35.1671	147
AGE-posicion	GKD-b_9_n25_m7	36.8165	146
AGE-posicion	GKD-b_10_n25_m7	45.7863	154
AGE-posicion	GKD-b_11_n50_m5	14.2967	154
AGE-posicion	GKD-b_12_n50_m5	13.777	152
AGE-posicion	GKD-b_13_n50_m5	16.4239	151
AGE-posicion	GKD-b_14_n50_m5	19.8823	153
AGE-posicion	GKD-b_15_n50_m5	13.0223	160
AGE-posicion	GKD-b_16_n50_m15	113.863	173
AGE-posicion	GKD-b_17_n50_m15	124.454	175
AGE-posicion	GKD-b_18_n50_m15	106.352	203
AGE-posicion	GKD-b_19_n50_m15	123.007	190
AGE-posicion	GKD-b_20_n50_m15	103.722	204
AGE-posicion	GKD-b_21_n100_m10	50.7838	181
AGE-posicion	GKD-b_22_n100_m10	46.5778	174
AGE-posicion	GKD-b_23_n100_m10	51.8051	179
AGE-posicion	GKD-b_24_n100_m10	46.001	177
AGE-posicion	GKD-b_25_n100_m10	56.1641	170
AGE-posicion	GKD-b_26_n100_m30	419.186	244
AGE-posicion	GKD-b_27_n100_m30	384.287	261
AGE-posicion	GKD-b_28_n100_m30	324.227	290
