Algorithm	File	Fitness	Time(ms)
Random	GKD-b_1_n25_m2	0,0000	19
Random	GKD-b_2_n25_m2	0,0000	17
Random	GKD-b_3_n25_m2	0,0000	14
Random	GKD-b_4_n25_m2	0,0000	12
Random	GKD-b_5_n25_m2	0,0000	12
Random	GKD-b_6_n25_m7	16,6070	48
Random	GKD-b_7_n25_m7	19,0232	60
Random	GKD-b_8_n25_m7	24,4081	63
Random	GKD-b_9_n25_m7	23,8666	61
Random	GKD-b_10_n25_m7	28,8982	61
Random	GKD-b_11_n50_m5	4,0282	41
Random	GKD-b_12_n50_m5	4,3908	40
Random	GKD-b_13_n50_m5	5,3801	33
Random	GKD-b_14_n50_m5	4,8988	35
Random	GKD-b_15_n50_m5	4,6631	30
Random	GKD-b_16_n50_m15	155,5788	177
Random	GKD-b_17_n50_m15	138,2552	131
Random	GKD-b_18_n50_m15	148,5883	124
Random	GKD-b_19_n50_m15	138,2600	123
Random	GKD-b_20_n50_m15	141,8709	122
Random	GKD-b_21_n100_m10	64,9223	64
Random	GKD-b_22_n100_m10	65,2334	63
Random	GKD-b_23_n100_m10	54,1838	64
Random	GKD-b_24_n100_m10	54,1479	66
Random	GKD-b_25_n100_m10	56,0078	70
Random	GKD-b_26_n100_m30	564,3416	324
Random	GKD-b_27_n100_m30	542,8634	319
Random	GKD-b_28_n100_m30	550,4836	334
Random	GKD-b_29_n100_m30	505,0076	327
Random	GKD-b_30_n100_m30	531,0321	337
Random	GKD-b_31_n125_m12	100,0426	79
Random	GKD-b_32_n125_m12	78,7612	81
Random	GKD-b_33_n125_m12	96,7803	80
Random	GKD-b_34_n125_m12	100,6875	81
Random	GKD-b_35_n125_m12	92,2232	80
Random	GKD-b_36_n125_m37	669,1305	415
Random	GKD-b_37_n125_m37	839,3351	427
Random	GKD-b_38_n125_m37	773,2532	413
Random	GKD-b_39_n125_m37	697,5068	434
Random	GKD-b_40_n125_m37	713,5402	516
Random	GKD-b_41_n150_m15	137,4706	149
Random	GKD-b_42_n150_m15	156,5626	149
Random	GKD-b_43_n150_m15	150,0807	130
Random	GKD-b_44_n150_m15	130,9510	130
Random	GKD-b_45_n150_m15	126,3654	129
Random	GKD-b_46_n150_m45	961,9711	505
Random	GKD-b_47_n150_m45	968,3872	486
Random	GKD-b_48_n150_m45	859,4704	511
Random	GKD-b_49_n150_m45	981,0873	573
Random	GKD-b_50_n150_m45	977,6237	525
